#Episode	Reward
0	-10.45
1	-10.41
2	-10.27
3	-10.29
4	-10.19
5	108.65
6	-10.16
7	-10.17
8	-10.17
9	-10.21
10	110.0
11	-10.15
12	-10.29
13	-10.32
14	102.2
15	-10.19
16	-10.19
17	-10.38
18	-10.2
19	-10.19
20	-10.22
21	-10.26
22	-10.16
23	-10.29
24	-10.26
25	-10.25
26	-10.19
27	-5.22
28	-4.09
29	-10.2
30	-2.09
31	-10.15
32	-10.19
33	-10.23
34	-2.4000000000000004
35	-10.18
36	-10.19
37	-10.32
38	108.78
39	-10.17
40	-6.1
41	-10.18
42	-10.18
43	-10.31
44	-10.19
45	-10.17
46	-10.18
47	108.81
48	103.7
49	-10.16
50	-10.19
51	-10.18
52	-10.16
53	-10.16
54	-10.16
55	-0.34999999999999964
56	-10.22
57	-10.23
58	-10.17
59	-10.16
60	-10.18
61	-10.18
62	-10.19
63	-10.19
64	-11.08
65	107.8
66	-10.18
67	-10.2
68	-10.24
69	-10.21
70	-10.29
71	-10.21
72	-10.2
73	-10.18
74	-10.19
75	-10.16
76	-10.16
77	-10.16
78	-10.18
79	-4.13
80	-10.18
81	-10.22
82	-10.2
83	-10.22
84	108.66
85	-1.070000000000002
86	0.7000000000000011
87	-10.16
88	-10.33
89	-10.19
90	-10.31
91	-10.21
92	-10.25
93	-10.21
94	-10.29
95	-10.19
96	-4.029999999999999
97	-9.18
98	-10.19
99	-10.2
100	-10.27
101	-11.120000000000001
102	-10.17
103	-10.21
104	108.85
105	-10.17
106	-10.2
107	-10.16
108	-10.19
109	-10.16
110	-10.16
111	-10.22
112	-9.19
113	-10.22
114	-10.2
115	-10.16
116	-10.24
117	-10.21
118	-10.29
119	-10.18
120	-10.28
121	-3.0599999999999996
122	-10.21
123	-2.1399999999999997
124	-10.15
125	-10.23
126	109.88
127	110.76
128	-10.19
129	-10.22
130	-10.16
131	-4.109999999999999
132	108.94
133	-5.1899999999999995
134	-11.08
135	-10.21
136	-10.24
137	-10.25
138	-10.25
139	-10.19
140	-4.08
141	-10.16
142	-10.17
143	-10.23
144	109.84
145	108.84
146	-5.0
147	-10.2
148	108.84
149	108.83
150	108.77
151	108.92
152	-6.109999999999999
153	101.76
154	-10.17
155	-10.16
156	-3.0
157	-10.16
158	-10.16
159	-10.2
160	-10.31
161	-10.16
162	-10.16
163	-10.16
164	-10.16
165	-10.21
166	-10.27
167	107.85
168	-9.06
169	-10.16
170	-10.16
171	-10.19
172	-10.21
173	-0.040000000000000924
174	-10.16
175	-10.16
176	-10.16
177	-10.22
178	-10.27
179	-8.17
180	-10.22
181	-3.99
182	-4.0200000000000005
183	108.88
184	108.88
185	102.86
186	-7.98
187	-10.19
188	-8.22
189	-10.16
190	-1.0999999999999996
191	100.75
192	-10.18
193	-10.25
194	108.83
195	-10.16
196	-10.16
197	-10.16
198	-10.16
199	-10.24
200	109.77
201	108.8
202	-10.08
203	108.77
204	111.77
205	-4.06
206	108.81
207	-10.22
208	-10.22
209	-10.24
210	-11.19
211	-10.07
212	-10.2
213	108.85
214	108.8
215	-8.05
216	-10.2
217	-10.2
218	-10.21
219	108.8
220	-10.17
221	-10.18
222	-10.2
223	-10.2
224	-10.2
225	-10.29
226	-10.2
227	-10.29
228	-10.21
229	-4.1
230	-2.16
231	108.82
232	-10.2
233	108.77
234	-5.06
235	-10.2
236	-10.19
237	-10.2
238	-10.29
239	108.8
240	-3.1399999999999997
241	108.8
242	108.82
243	-10.0
244	108.8
245	-10.02
246	108.78
247	105.82
248	-10.2
249	-10.22
250	-10.2
251	-10.23
252	108.78
253	108.85
254	108.81
255	-10.16
256	-10.22
257	-10.22
258	-10.2
259	108.8
260	108.8
261	-6.26
262	-10.29
263	108.73
264	108.8
265	-1.1400000000000006
266	108.76
267	108.75
268	99.77
269	-10.2
270	-10.2
271	108.87
272	110.69
273	108.8
274	-10.05
275	108.75
276	108.8
277	108.78
278	-10.2
279	-2.1399999999999997
280	108.8
281	108.81
282	102.8
283	108.77
284	-8.07
285	108.74
286	108.82
287	-10.06
288	-10.16
289	-10.16
290	-10.22
291	-10.29
292	-10.19
293	-10.24
294	-4.06
295	-4.08
296	-10.2
297	108.8
298	108.8
299	108.75
300	-10.07
301	-10.2
302	-1.1300000000000008
303	-1.1400000000000006
304	108.8
305	108.75
306	108.8
307	-10.08
308	-10.2
309	108.8
310	108.79
311	-10.2
312	-10.2
313	108.8
314	101.76
315	-10.2
316	108.8
317	108.8
318	101.81
319	-10.19
320	108.8
321	108.8
322	108.8
323	-10.08
324	-1.1199999999999992
325	108.81
326	108.8
327	-9.04
328	108.8
329	-4.07
330	-10.2
331	-10.25
332	-10.22
333	-2.0700000000000003
334	-10.16
335	-10.17
336	108.78
337	108.69
338	108.8
339	103.72
340	-10.2
341	108.8
342	108.8
343	108.8
344	-10.05
345	-10.2
346	108.8
347	109.84
348	108.8
349	108.85
350	102.76
351	101.65
352	108.8
353	-3.0700000000000003
354	-10.2
355	-4.16
356	108.8
357	108.8
358	102.7
359	-10.2
360	-10.2
361	-3.0599999999999996
362	-10.16
363	-10.16
364	-10.16
365	-10.16
366	-10.22
367	108.63
368	108.8
369	108.8
370	108.8
371	102.76
372	100.84
373	-10.2
374	-10.2
375	108.8
376	108.8
377	108.8
378	-10.05
379	-10.2
380	108.8
381	108.8
382	108.8
383	102.76
384	108.8
385	-7.14
386	108.8
387	108.8
388	102.76
389	108.8
390	-7.16
391	-10.2
392	108.8
393	-7.15
394	108.8
395	108.8
396	-7.16
397	108.8
398	108.7
399	-10.2
400	-10.2
401	108.8
402	108.8
403	108.8
404	-9.21
405	-10.2
406	-5.07
407	108.8
408	108.8
409	-8.16
410	-10.2
411	108.8
412	108.8
413	108.81
414	-8.16
415	-10.2
416	108.8
417	108.8
418	108.8
419	-8.16
420	-10.2
421	108.8
422	108.8
423	108.8
424	-8.16
425	-10.2
426	109.8
427	108.8
428	108.8
429	-8.16
430	-10.2
431	-10.22
432	108.8
433	108.8
434	104.78
435	108.8
436	101.75
437	108.8
438	108.8
439	102.76
440	108.8
441	102.76
442	-1.1400000000000006
443	102.75
444	108.8
445	108.8
446	102.76
447	108.8
448	102.76
449	108.8
450	102.73
451	-10.2
452	-10.2
453	108.8
454	108.8
455	108.8
456	101.75
457	108.8
458	102.76
459	108.8
460	108.8
461	102.76
462	108.8
463	102.76
464	108.8
465	100.83
466	-10.2
467	-10.2
468	108.8
469	108.8
470	108.8
471	-8.16
472	108.8
473	108.8
474	-8.16
475	-10.2
476	108.8
477	108.8
478	109.78
479	108.8
480	-7.15
481	-10.2
482	108.8
483	108.8
484	-8.16
485	-10.2
486	108.8
487	108.8
488	-8.16
489	108.8
490	-7.15
491	-10.2
492	108.8
493	108.8
494	-8.16
495	-10.2
496	108.81
497	108.8
498	108.8
499	-8.16
500	-10.2
501	108.8
502	108.8
503	108.8
504	-8.16
505	-10.2
506	-10.22
507	-10.22
508	-10.25
509	-10.16
510	-10.16
511	-10.16
512	-10.16
513	-10.16
514	-10.22
515	-10.22
516	-10.31
517	-10.2
518	-10.2
519	-10.2
520	-10.23
521	108.84
522	108.84
523	108.84
524	108.84
525	108.84
526	108.84
527	108.84
528	108.84
529	108.84
530	108.84
531	-8.120000000000001
532	-10.21
533	108.84
534	108.84
535	108.84
536	108.84
537	108.84
538	108.84
539	108.84
540	-8.120000000000001
541	108.84
542	108.84
543	108.84
544	108.84
545	108.84
546	-8.120000000000001
547	-10.2
548	108.84
549	108.84
550	108.84
551	108.84
552	100.85
553	-10.22
554	-10.2
555	-10.2
556	-10.22
557	108.84
558	108.84
559	108.84
560	108.84
561	108.84
562	108.84
563	108.84
564	108.84
565	101.79
566	108.84
567	108.84
568	108.84
569	108.84
570	108.84
571	102.8
572	108.84
573	108.84
574	108.84
575	108.84
576	102.8
577	108.84
578	108.84
579	108.84
580	108.84
581	102.8
582	108.84
583	108.84
584	108.84
585	104.78
586	108.84
587	108.84
588	108.84
589	102.8
590	108.84
591	108.84
592	108.84
593	102.8
594	108.84
595	108.84
596	108.84
597	102.8
598	108.84
599	108.84
600	108.84
601	102.74
602	108.84
603	108.84
604	108.84
605	102.8
606	108.84
607	108.84
608	108.84
609	102.8
610	108.84
611	108.84
612	102.8
613	108.84
614	108.84
615	108.84
616	102.8
617	108.84
618	108.84
619	108.84
620	102.8
621	108.84
622	108.84
623	108.84
624	102.8
625	108.84
626	108.84
627	108.84
628	102.8
629	108.84
630	108.84
631	108.84
632	102.8
633	108.84
634	108.84
635	108.84
636	102.8
637	108.84
638	108.84
639	108.84
640	102.8
641	108.84
642	108.84
643	108.84
644	102.8
645	108.84
646	108.84
647	108.84
648	102.8
649	108.84
650	108.84
651	108.84
652	102.8
653	108.84
654	108.84
655	108.84
656	102.8
657	108.84
658	108.84
659	108.84
660	102.8
661	108.84
662	108.84
663	107.88
664	108.84
665	102.8
666	108.84
